Rank,Change,Track,Internal Link,External Link,Artists,Album,Label,Track Genres,Release Date,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,0,Die With A Smile,/track/134780977/about,https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,"pop, r&b/soul","Mar 7, 2025",1,"Mar 6, 2025",0.00,59,USUM72409273
2,0,Ordinary,/track/143150184/about,https://open.spotify.com/track/2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",Atlantic Records,"pop, dance, alternative","Sep 27, 2024",2,"Apr 14, 2025",0.14,40,USAT22500463
3,0,BIRDS OF A FEATHER,/track/120611262/about,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,HIT ME HARD AND SOFT,Darkroom/Interscope Records,"pop, electropop, indie pop","May 17, 2024",1,"Jul 8, 2024",-0.14,343,USUM72401994
4,0,APT.,/track/138071658/about,https://open.spotify.com/track/4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,"pop, k-pop, dance","Dec 6, 2024",1,"Dec 5, 2024",0.00,150,USAT22409172
5,0,La Plena - W Sound 05,/track/143778102/about,https://open.spotify.com/track/6iOndD4OFo7GkaDypWQIou,"W Sound, Beéle, Ovy On The Drums",La Plena (W Sound 05),WEA Latina,reggaeton,"Feb 19, 2025",5,"Apr 11, 2025",0.43,58,USWL12500595
6,0,That’s So True,/track/138052899/about,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,Gracie Abrams,The Secret of Us (Deluxe),"Gracie Abrams, under exclusive license to Interscope Records","pop, indie pop, alternative","Oct 18, 2024",3,"Dec 27, 2024",0.00,192,USUG12406903
7,0,like JENNIE,/track/144457230/about,https://open.spotify.com/track/0fK7ie6XwGxQTIkpFoWkd1,JENNIE,Ruby - JENNIE Only Audio,OA Entertainment/Columbia,"pop, k-pop, r&b/soul","Mar 7, 2025",5,"Apr 15, 2025",0.00,59,USQX92500261
8,0,luther (with sza),/track/139790734/about,https://open.spotify.com/track/2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",GNX,"pgLang, under exclusive license to Interscope Records","alternative hip-hop, hip-hop/rap","Nov 21, 2024",2,"Feb 10, 2025",0.14,162,USUG12408496
9,0,DtMF,/track/141777092/about,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DeBÍ TiRAR MáS FOToS,Rimas Entertainment LLC.,reggaeton,"Jan 5, 2025",1,"Jan 10, 2025",0.43,119,QMFMF2447070
10,0,Beautiful Things,/track/116167805/about,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,Warner Records,"pop, electropop, soft pop","Apr 5, 2024",1,"Apr 5, 2024",0.14,374,USWB12307016
